case_id,city,area,style,level,total_price,unit_price,duration_days,company,year,labor_cost,material_cost,auxiliary_cost,design_cost,furniture_cost,source_url
2239083,广州,80.0,现代简约,中档,80000.0,1000.0,0,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/3335254/case/2239083.html
2775283,广州,94.0,其他,高档,250000.0,2659.574468085106,90,,2022,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/3157493/case/2775283.html
2840565,广州,90.0,现代简约,高档,150000.0,1666.6666666666667,90,王奇,2023,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/22053085/case/2840565.html
2762880,广州,84.0,其他,高档,170000.0,2023.8095238095239,90,蔡秦炳,2022,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/3157493/case/2762880.html
2374409,广州,86.0,现代简约,高档,140000.0,1627.906976744186,78,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/573608/case/2374409.html
2564232,广州,89.0,现代简约,中档,110000.0,1235.9550561797753,90,,2021,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/16662831/case/2564232.html
2006710,广州,96.0,现代简约,中档,80000.0,833.3333333333334,115,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/1327336/case/2006710.html
2675721,广州,88.0,现代简约,高档,160000.0,1818.1818181818182,100,,2021,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/15630987/case/2675721.html
3456,广州,97.0,现代简约,豪装,500000.0,5154.639175257732,0,涵瑜设计,2020,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t3456.html
11070,广州,100.0,现代简约,豪装,330000.0,3300.0,90,深圳乐蜂全案｜壹玖柒玖设计院,2021,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t11070.html
2415407,广州,96.0,北欧风,中档,90000.0,937.5,75,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/573608/case/2415407.html
2488459,广州,81.0,日式,高档,230000.0,2839.5061728395062,90,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2488459.html
2247698,广州,100.0,户型,中档,90000.0,900.0,90,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10118995/case/2247698.html
2204665,广州,88.0,其他,高档,150000.0,1704.5454545454545,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2204665.html
2268707,广州,92.0,现代简约,高档,220000.0,2391.304347826087,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2268707.html
2220764,广州,93.0,北欧风,中档,120000.0,1290.3225806451612,121,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/470907/case/2220764.html
2182072,广州,90.0,其他,中档,110000.0,1222.2222222222222,70,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/470907/case/2182072.html
2185350,广州,90.0,北欧风,高档,140000.0,1555.5555555555557,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2185350.html
2375774,广州,95.0,现代简约,中档,100000.0,1052.6315789473683,150,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10118995/case/2375774.html
2272592,广州,86.0,美式,豪装,560000.0,6511.627906976744,98,谢承兵,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/12114666/case/2272592.html
134,广州,92.0,现代简约,豪装,600000.0,6521.739130434783,45,TZD同筑设计,2020,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t134.html
4710,广州,90.0,北欧风,豪装,350000.0,3888.8888888888887,90,启物空间设计,2018,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t4710.html
2267387,广州,89.0,北欧风,高档,210000.0,2359.550561797753,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2267387.html
2504947,广州,93.0,装修,高档,200000.0,2150.537634408602,90,郑静超,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/11062226/case/2504947.html
2184230,广州,86.0,现代简约,中档,90000.0,1046.5116279069769,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2184230.html
2322245,广州,99.0,混搭,中档,90000.0,909.0909090909091,90,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10118995/case/2322245.html
2266890,广州,89.0,混搭,高档,210000.0,2359.550561797753,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2266890.html
2183586,广州,96.0,其他,高档,150000.0,1562.5,70,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/470907/case/2183586.html
2395977,广州,100.0,方案,中档,100000.0,1000.0,90,何水清,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8502195/case/2395977.html
2290304,广州,84.0,现代简约,中档,90000.0,1071.4285714285713,70,钟泰林,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/3157493/case/2290304.html
2511448,广州,88.0,其他,经济型,60000.0,681.8181818181819,150,,2021,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10118995/case/2511448.html
2203573,广州,96.0,其他,中档,110000.0,1145.8333333333333,70,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/470907/case/2203573.html
4662,广州,90.0,其他,高档,250000.0,2777.777777777778,90,启物空间设计,2019,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t4662.html
11637,广州,99.0,现代简约,高档,160000.0,1616.1616161616162,90,深圳乐蜂全案｜壹玖柒玖设计院,2021,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t11637.html
2357261,广州,95.0,现代简约,高档,160000.0,1684.2105263157894,94,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/573608/case/2357261.html
2789082,广州,90.0,混搭,高档,150000.0,1666.6666666666667,60,徐姗清,2022,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/16525748/case/2789082.html
